FirstName,LastName,Email,Country
Player,Player2,ppll1@gmail.com,United States of America
Player,Player3,ppll2@gmail.com,United States of America
Player,Player4,ppll3@gmail.com,United States of America
Player,Player5,ppll4@gmail.com,United States of America
Player,Player6,ppll5@gmail.com,United States of America
Player,Player7,ppll6@gmail.com,United States of America
Player,Player8,ppll7@gmail.com,United States of America
Player,Player9,ppll8@gmail.com,United States of America
Player,Player10,ppll9@gmail.com,United States of America
Player,Player11,ppll10@gmail.com,United States of America
Player,Player12,ppll11@gmail.com,United States of America
Player,Player13,ppll12@gmail.com,United States of America
Player,Player14,ppll13@gmail.com,United States of America
Player,Player15,ppll14@gmail.com,United States of America
